seed,customerName,schoolOfMagic,profession,request,trueGoal,constraint,request_ttr,dossier_chars,customer_latency_ms,customer_cost_usd,material_parse_ok,material_has_three_cores,material_has_three_woods,material_core_affinity_diverse,material_wood_personality_diverse,material_well_formed_set,material_latency_ms,material_cost_usd
Run 19 / ember-shrike,Thalios Ember,Pyromancy,Fire dancer who uses pyromancy to create dazzling displays during performances,I need a wand that can help me adjust the temperature of my flames more subtly. Sometimes the flames get too hot and scorch the stage.,To seamlessly transition between different flame intensities while maintaining the beauty and safety of the performance,"His flames intensify uncontrollably with adrenaline spikes, which occur during the show's climax",0.885,427,2208,0.00406,True,True,True,True,True,True,5425,0.00479
Run 20 / chalk-otter,Theris Runeclaw,Geomancy,Pathfinder who uses earth magic to manipulate terrain for safe passage,I need a wand that lets me subtly adjust the terrain without triggering landslides. My adjustments often cause more damage than intended.,To create safe and reliable pathways quickly in unstable terrain without causing unintended collapses,"His earth magic becomes too forceful when he second-guesses his choices, destabilizing the ground further",1.0,413,2082,0.00404,True,True,True,True,True,True,7266,0.00489
Run 21 / verdigris-tern,Thalina Emberflare,Pyromancy,Chef who uses fire magic to perfectly cook gourmet dishes,"I need a wand that can maintain a steady flame. Right now, my fire flares unpredictably, overcooking delicate ingredients.","To achieve consistent, precision-controlled heating for complex recipes without the flame burning too hot too fast","Her flame intensity spikes when her temper rises, disrupting her focus on fine adjustments",0.947,383,2549,0.00401,True,True,True,False,True,False,4243,0.00479
Run 22 / hazel-marten,Thalor Brightgaze,Pyromancy,Guardian who uses fire magic to create barriers of flame to protect allies,I need a wand that prevents my fire barriers from intensifying unintentionally. They sometimes flare up and harm allies instead of just protecting them.,To quickly conjure and modulate protective fire barriers that can withstand strong assaults without harming those within,His fire magic becomes increasingly volatile when he is emotionally charged or facing multiple threats at once,1.0,456,2255,0.00409,True,True,True,True,True,True,3831,0.00506
Run 23 / smoke-pollen,Thaelon Brightflame,Pyromancy,Artisan blacksmith who uses fire magic to forge enchanted weapons,I need a wand that helps me maintain an even heat when I'm deep in crafting. Sudden temperature spikes ruin delicate enchantments.,To sustain consistent high temperatures for intricate enchantment work without overheating and damaging the materials,"His fire magic fluctuates wildly when he gets too engrossed in crafting, leading to unpredictable heat surges",1.0,421,2393,0.00404,True,True,True,True,True,True,3775,0.00495
Run 24 / amber-quail,Braxion Emberfang,Pyromancy,Fire dancer who uses pyromancy to create dazzling performances,I need a wand that allows me to adjust flame temperature on the fly. Sometimes the heat is too intense and I risk scorching the stage.,To seamlessly weave intricate patterns with fire at varying intensities without compromising safety or artistic precision,"His flames surge erratically when he gets overly enthusiastic during a performance, making control difficult",0.885,425,3083,0.00403,True,True,True,False,True,False,3980,0.00475
Run 25 / spindle-moth,Kaelin Thornfire,Pyromancy,Wildfire tamer who uses pyromancy to control and redirect forest fires,I need a wand that can help me focus the heat into a concise path. I struggle to form clear channels through the blaze.,To carve precisely controlled firebreaks quickly in unpredictable wildfire conditions without spreading the flames,"His fire magic flares wildly when his adrenaline spikes, which often happens in life-or-death scenarios",0.875,406,2618,0.00411,True,True,True,False,True,False,4246,0.00484
Run 26 / shale-rook,Kael Draven,Geomancy,Architect who uses earth magic to reshape landscapes and construct buildings,"I need a wand that can help me maintain stability in my structures while manipulating large amounts of earth. Sometimes, the whole thing crumbles when I try to create ambitious designs.",To execute groundbreaking architectural projects with precision without risking structural collapse,"His geomancy becomes unstable when he attempts rapid changes in the terrain, leading to unintended collapses",0.968,468,3809,0.00404,True,True,True,True,True,True,5036,0.00473
Run 27 / tallow-yew,Torin Emberforge,Pyromancy,Fire-sculptor who molds living flames into expressive art,I'm looking for a wand that helps me maintain a perfect flame temperature. My creations keep losing their shape because of sudden heat fluctuations.,"To sculpt intricate, enduring flame structures with fine temperature control for extended display without warping","His fire magic's temperature spikes during bursts of emotional intensity, distorting his work",0.958,411,2349,0.00404,True,True,True,True,True,True,4537,0.00516
Run 28 / loam-vesper,Gorin Ashroot,Geomancy,Sentinel warder using earth magic to fortify city defenses,I'm looking for a wand that can stabilize stone walls even when the ground shakes fiercely. My current spells crumble before I can secure the perimeters.,To reinforce and maintain structural integrity of fortifications quickly during unexpected seismic activities without interruptions,"His earth magic falters when the vibrations are too erratic, making it difficult to keep spells consistent during intense tremors",0.923,471,3164,0.0041,True,True,True,True,True,True,7175,0.00458
Run 29 / bone-magpie,Thalorn Grimshade,Necromancy,Arcane archaeologist who utilizes necromancy to animate and query ancient remains,I need a wand to keep animated remains more stable. They tend to crumble when I extract information from them.,To achieve a delicate balance of stability and clarity when animating remains to extract precise and complete knowledge without degradation,His necromantic magic causes rapid decomposition in remains when he pushes for too much information too quickly,0.9,441,2603,0.00409,True,True,True,True,True,True,6859,0.00522
Run 30 / rune-cricket,Thaldran Emberforge,Pyromancy,Blacksmith who uses fire magic to craft enchanted weapons,I need a wand that allows me to control the flame size in my forge. Sometimes the fire flares up and ruins my work.,To maintain a consistent and controllable flame while rapidly transitioning between different heat levels during delicate enchantments,"His fire magic intensifies unpredictably when he becomes frustrated, precisely when precision is required most",0.917,416,5981,0.00406,True,True,True,True,True,True,4381,0.00488
Run 30 / extra-30,Theran Ironglade,Geomancy,Architect who shapes buildings with stone and earth magic,I need a wand that stabilizes my stone constructs during shaping. They tend to collapse unexpectedly under their own weight.,To rapidly design and shape sophisticated structures with intricate details without them losing stability,His geomancy loses structural integrity when he rushes the formation process under strict deadlines,1.0,385,3604,0.00391,True,True,True,True,True,True,4318,0.00489
Run 31 / extra-31,Thrayis Flamestrike,Pyromancy,Fire dancer who wields flame magic to create stunning visual displays,"I need a wand that can help stabilize my fire control, especially during the fast-paced segments of my routine. The fire flickers unpredictably sometimes.","To perform complex, high-speed fire routines with consistent, captivating flame patterns without risking uncontrolled blazes",His fire magic becomes erratic and harder to manage when his adrenaline spikes during quick movements,0.88,448,2422,0.00409,True,True,True,False,True,False,7349,0.00384
Run 32 / extra-32,Thalor Vyrn,Geomancy,Rock sculptor who uses earth magic to shape exquisite statues,I need a wand that can help me avoid unintended tremors in my work. My hands inadvertently create vibrations that mar the fine details.,To delicately sculpt intricate designs swiftly and accurately without unintentional vibrations compromising the masterpiece,"His earth magic becomes unstable when he experiences intense focus, resulting in unintended tactile feedback",0.917,427,2208,0.00404,True,True,True,True,True,True,9721,0.00483
Run 33 / extra-33,Thalorin Emberhand,Pyromancy,Fire dancer who uses flames to mesmerize and manipulate crowds,"I need a wand that allows me to control the height of my flames. Whenever I get excited, they suddenly flare up too high.","To create visually stunning, elaborate fire displays with perfect control regardless of my emotional state during performances",His fire magic flares unpredictably when his emotions run high - precisely when he needs to maintain calm for controlled displays,0.958,438,3018,0.00411,True,True,True,True,True,True,6691,0.00513
Run 34 / extra-34,Thorin Emberstay,Pyromancy,Blacksmith who uses fire magic to form intricate metalwork,I need a wand that allows fine control of temperature. Sometimes my flames get too hot and I end up ruining the metalwork.,"To maintain a consistent, precise heat that adjusts instantly to the demands of complex metal designs","His fire magic spikes in intensity when he becomes too focused, overheating at the exact moment precision is required",0.957,398,2830,0.00404,True,True,True,True,True,True,4840,0.00462
Run 35 / extra-35,Finnieth Quickwind,Aeromancy,Wind scout who uses air magic to navigate and gather intelligence swiftly,I need a wand that helps buffer the noise of my wind currents. The whistling gives away my position when I'm on a reconnaissance mission.,"To achieve silent, high-speed aerial maneuvers for effective spying without compromising stealth",His air currents start howling uncontrollably when he feels too excited or anxious about a discovery,0.88,406,3089,0.00407,True,True,True,True,True,True,5223,0.00515
Run 36 / extra-36,Kaelin Emberflare,Pyromancy,Demolition expert who uses fire magic to efficiently dismantle structures,I need a wand that narrows my flames into a precise beam. My spread is too wide and ends up causing unintended damage to surrounding areas.,To focus intense fire energy for controlled demolitions without endangering adjacent structures,"His fire magic flares and widens uncontrollably when he gets excited, usually during critical moments",0.923,408,3436,0.00404,True,True,True,False,True,False,5743,0.005
Run 37 / extra-37,Thalron Blackthorn,Pyromancy,Blacksmith who uses fire magic for the perfect tempering of weapons,I need a wand that helps me maintain consistent heat for tempering. My magic flares up unpredictably and ruins the purity of metal at critical moments.,"To achieve flawless, uniform heat application while crafting intricate designs without overheating any part of the metal","His fire magic intensity spikes when he's deeply focused, often leading to unintended surges during delicate craftsmanship",1.0,460,2640,0.00412,True,True,True,False,True,False,5071,0.00488
Run 38 / extra-38,Felix Emberhart,Pyromancy,Illusionist who uses fire magic to create distracting spectacles,I need a wand that can keep my fire illusions contained to a safe distance. Sometimes they expand too rapidly and pose a risk to the audience.,"To create visually captivating and precisely controlled fire illusions that dazzle and distract, ensuring both safety and spectacle",His fire magic flares unpredictably larger when he gets excited and loses focus during a performance,0.889,437,2802,0.00407,True,True,True,True,True,True,5078,0.00464
Run 39 / extra-39,Zephyr Thornwhisper,Aetherial magic,Sky scout who uses aetherial magic to clear and manipulate air currents for safe passage,I need a wand that helps me stabilize air pathways during turbulent conditions. My currents tend to become erratic in high winds.,To create consistent and seamless air paths swiftly while navigating unpredictable weather patterns,"His control over aetherial currents weakens in the presence of gusty, chaotic wind patterns",1.0,407,2587,0.00409,True,True,True,True,True,True,6220,0.00511
Run 40 / extra-40,Boreas Sunsage,Geomancy,Architect who uses earth magic to shape and stabilize structures,I need a wand that helps manage the fine adjustments of my earth shaping. My spells often cause structural faults when I try to refine details.,"To construct stable, intricate architectural designs with precision at a large scale without sacrificing structural integrity",His earth magic becomes erratic when trying to maintain control over both macro and micro elements simultaneously,0.923,445,2515,0.00402,True,True,True,True,True,True,5294,0.00509
Run 41 / extra-41,Ferrin Emberflare,Pyromancy,Blacksmith who forges enchanted weapons with fire magic,I need a wand that helps me keep a steady flame. The temperature makes huge spikes and I'm ruining the metal.,To maintain consistent heat control in the flames to forge high-quality enchanted weapons swiftly without damaging the potential enchantment,His fire magic becomes erratic with fluctuating temperatures when his temper flares - exactly when precision is required,0.905,424,2836,0.00406,False,,,,,,,
Run 42 / extra-42,Kaelan Frostmoon,Cryomancy,Scout who uses ice magic to freeze environments and obscure enemy trails,I need a wand that lets me maintain a stable ice shield without it melting or cracking when I move rapidly across different terrains.,To create extended periods of concealment and cover while navigating quickly and unnoticed through enemy lines,"His ice magic is prone to destabilizing when he changes direction too abruptly, especially in high-stakes situations",0.917,431,3180,0.00406,True,True,True,True,True,True,6534,0.00505
Run 43 / extra-43,Thalorin Myrr,Geomancy,Miner enchanter who uses earth magic to detect and extract rare gems,I need a wand that can refine my detection spells to avoid setting off natural traps while I'm searching for gems.,To swiftly and accurately locate the most valuable gems deep underground without triggering any geological disturbances,His magic causes unintended tremors when he gets too focused on securing a difficult or potentially lucrative find,1.0,415,2519,0.00402,True,True,True,True,True,True,6431,0.00506
Run 44 / extra-44,Thalorin Gossamer,Geomancy,Architect who shapes landscapes with earthquake magic,I require a wand that helps me control tremors without causing unintended shifts in the terrain. The unpredictability is quite troublesome.,"To create stable, intricate earth structures swiftly without disturbing the surrounding environment",His tremor magic becomes erratic whenever he is urgently trying to build under tight deadlines,0.952,385,2923,0.00393,True,True,True,True,True,True,5546,0.00473
Run 45 / extra-45,Thorian Steelbark,Geomancy,Architect who uses earth magic to shape colossal structures,"I need a wand to stabilize the smaller details of my structures, as they get a bit too intricate and unstable.","To create grand architectural masterpieces with intricate details rapidly, without them collapsing under their own weight","His geomancy tends to over-solidify when focusing on minute details, leading to structural cracks",0.952,387,2758,0.00397,True,True,True,True,True,True,4535,0.00474
Run 46 / extra-46,Thalindra Mossheart,Geomancy,Landscape architect who uses earth magic to shape environments,I need a wand that helps me keep loose soil compact without losing hold of the shape mid-design.,"To construct intricate, stable earthworks swiftly and adaptively without having the structure collapse prematurely",Her geomancy becomes more difficult to stabilize when she experiences strong emotions from those around her,1.0,379,2784,0.00393,True,True,True,True,True,True,4821,0.00481
Run 47 / extra-47,Thalor Grimsbane,Necromancy,Grave sentinel who animates skeletal guardians to protect sacred sites,I'm looking for a wand that keeps my animated guardians intact. They tend to collapse when intrusions are most dire.,To maintain multiple strong skeletal guardians simultaneously during intense moments of spiritual intrusion,"His necromantic power wavers unpredictably during heightened emotional states, causing unintended releases at critical times",1.0,417,3415,0.00406,True,True,True,True,True,True,4994,0.00499
Run 48 / extra-48,Ferran Brightforge,Pyromancy,Blacksmith who uses flame magic to forge ethereal weapons,"I need a wand to stabilize the heat in my flames. When I'm in the middle of forging, the temperature randomly spikes or drops.","To maintain a consistent, precise heat level on multiple pieces simultaneously to enhance weapon craftsmanship","His flame magic reacts to his emotional state, causing fluctuations in temperature at critical forging moments",0.875,403,2262,0.00402,True,True,True,True,True,True,5500,0.0048
Run 49 / extra-49,Thalyn Embercrest,Pyromancy,Wildfire warden who uses fire magic to control and contain forest fires,I need a wand that can help me gauge the spread of the flames accurately. I keep overestimating the distance and end up fueling the fires rather than containing them.,"To manage and contain fires swiftly and precisely, ensuring they don't expand further while preventing any unintended accelerations","His fire magic becomes increasingly aggressive when he attempts rapid adjustments under stress, often exacerbating the flames",0.867,493,5159,0.00417,True,True,True,True,True,True,5201,0.00488
